No.	Defect Type	AI's Suggestion	Reality / Expected Outcome	Validation Method	Resolution / Decision
11	Context Misunderstanding	The AI assumed existing platforms for RentWise could be adequately described by analyzing generic hotel booking websites.	Short-term hotel bookings share some similarities but fundamentally differ from the long-term room rental needs of students and workers.	Cross-referenced the AI's output against the specific business scope defined in the RentWise project charter.	Manually revised the 'Existing Systems' section to highlight direct competitors like Facebook Marketplace, Chợ Tốt, and Phongtro123, relegating Airbnb/Booking to minor comparative references.
14	Oversimplification	The AI proposed a binary status model for rental requests, utilizing only 'Approved' and 'Rejected'.	A real-world booking lifecycle requires intermediate states like 'Pending Deposit', 'Deposited', 'Cancelled', and 'Expired' to manage edge cases.	Traced the logical progression from room viewing to landlord approval, deposit payment, and final contract signing.	Engineered a comprehensive status state machine that accurately tracks the entire rental request and payment timeline.
19	Oversimplification	The AI generated UI/UX designs exclusively for desktop monitors, ignoring smaller viewports.	The primary target demographic (tenants/students) predominantly uses mobile devices to search for housing.	Simulated mobile screen widths utilizing Chrome Developer Tools to assess the usability of search and filter panels.	Implemented responsive Tailwind CSS rules, introducing a collapsible sidebar menu, vertically stacked room cards, and mobile-optimized touch targets.
23	Oversimplification	The AI carelessly recommended storing JWT authentication tokens directly within the browser's localStorage.	localStorage is highly susceptible to Cross-Site Scripting (XSS) attacks, exposing user sessions to theft.	Conducted a security review contrasting the vulnerabilities of localStorage against secure cookie mechanisms.	Discarded the localStorage approach in favor of robust 'httpOnly' cookies to drastically mitigate session hijacking risks.
24	Security Vulnerability (Logic Error)	The AI designed the 'Forgot Password' API to explicitly return an 'email not found' error if the user doesn't exist.	Explicit error messages expose the system to user enumeration attacks, allowing hackers to harvest valid email addresses.	Evaluated the API response structure against OWASP security best practices for password resets.	Hardcoded a generic success response ("If the email exists, an OTP has been sent") and implemented rate-limiting to prevent brute-force attacks.
29	Oversimplification	The AI assumed that simply verifying a user's role as 'Landlord' was sufficient to grant access to room management APIs.	Without resource ownership validation, a malicious landlord could exploit the API to delete or alter properties owned by someone else.	Audited the backend authorization middleware and the foreign key relationships between Users and Rooms.	Enforced strict resource ownership verification by mandating a 'landlordId' match query on all modifying endpoints.
30	Oversimplification	The AI recommended a basic 'Available/Unavailable' toggle for room listings following contract creation.	RentWise requires granular visibility statuses (e.g., Available, Pending Deposit, Rented, Hidden) to accurately reflect the real-time rental pipeline.	Mapped the room visibility states directly against the business transitions from request approval to deposit payment.	Decoupled the room listing states from the contract states, updating visibility dynamically only after verifiable deposit transactions.
33	Oversimplification	The AI generated standard CRUD logic that would permanently (hard) delete user accounts from the database upon Admin request.	Hard deleting accounts would trigger cascading deletions, permanently erasing critical financial and rental contract histories.	Analyzed the relational integrity between Users, Contracts, Payments, and Complaints.	Architected a 'Soft Delete' mechanism utilizing account statuses (Active, Suspended, Deleted) to retain historical data for audits while disabling user access.
34	Oversimplification	The AI assumed all submitted complaints were valid, providing only 'Open', 'In Progress', 'Resolved', and 'Closed' states.	Admins routinely encounter fraudulent, duplicated, or evidence-lacking complaints that require outright dismissal.	Evaluated real-world moderation workflows and edge cases regarding dispute resolution.	Integrated a 'Rejected' status and mandated 'Admin Resolution Notes' to maintain transparent records of dismissed cases.
36	Protocol / Logic Error	The AI erroneously instructed the frontend to send 'minPrice' and 'maxPrice' filters inside the payload body of an HTTP GET request.	RESTful standards dictate that HTTP GET requests should not carry a payload body; search filters must be appended as query strings.	Attempted the AI's integration, which resulted in the Express backend either throwing a 400 Bad Request or completely ignoring the payload.	Refactored the Axios fetch call to accurately parse and append the filter criteria as URL query parameters (?minPrice=X&maxPrice=Y).
